;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;0.0;5.0;30162.0;9.0;0.2739245195979827;2501.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.01;5.0;30162.0;9.0;0.2739245195979827;1590.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.02;5.0;30162.0;9.0;0.2739245195979827;1574.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.03;5.0;30162.0;9.0;0.2739245195979827;1545.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.04;5.0;30162.0;9.0;0.2739245195979827;1567.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.05;5.0;30162.0;9.0;0.2739245195979827;1695.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.060000000000000005;5.0;30162.0;9.0;0.2739245195979827;1546.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.07;5.0;30162.0;9.0;0.2739245195979827;1528.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.08;5.0;30162.0;9.0;0.2739245195979827;1607.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.09;5.0;30162.0;9.0;0.2739245195979827;1605.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.09999999999999999;5.0;30162.0;9.0;0.2739245195979827;1514.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.10999999999999999;5.0;30162.0;9.0;0.2739245195979827;1642.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.11999999999999998;5.0;30162.0;9.0;0.2739245195979827;1555.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.12999999999999998;5.0;30162.0;9.0;0.2739245195979827;1557.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.13999999999999999;5.0;30162.0;9.0;0.2739245195979827;1599.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.15;5.0;30162.0;9.0;0.2739245195979827;1564.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.16;5.0;30162.0;9.0;0.2739245195979827;1553.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.17;5.0;30162.0;9.0;0.2739245195979827;1572.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.18000000000000002;5.0;30162.0;9.0;0.2739245195979827;1532.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.19000000000000003;5.0;30162.0;9.0;0.2739245195979827;1519.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.20000000000000004;5.0;30162.0;9.0;0.2739245195979827;1543.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.21000000000000005;5.0;30162.0;9.0;0.2739245195979827;1555.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.22000000000000006;5.0;30162.0;9.0;0.2739245195979827;1533.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.23000000000000007;5.0;30162.0;9.0;0.2739245195979827;1576.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.24000000000000007;5.0;30162.0;9.0;0.2739245195979827;1528.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.25000000000000006;5.0;30162.0;9.0;0.2739245195979827;1551.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.26000000000000006;5.0;30162.0;9.0;0.2739245195979827;1606.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.2700000000000001;5.0;30162.0;9.0;0.2739245195979827;1553.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
