;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;Value;Value;Value;Value;Value;Value;Value;Value;Value
Fars;Loss;5-anonymity;RGR;0.05;0.05;5.0;100937.0;8.0;0.13829640662455123;4100.6;10.0;9.907169818797864E-5;0.002230764262934871;0.002203675380507682
Fars;Loss;5-anonymity;RGR;0.1;0.05;5.0;100937.0;8.0;0.10986085662186502;4123.6;0.0;0.0;0.006442464923679302;0.006442464923679302
Fars;Loss;5-anonymity;RGR;0.2;0.05;5.0;100937.0;8.0;0.09653208425272382;4473.2;1.0;9.907169818797864E-6;0.00478014429479193;0.0047769779758373996
Fars;Loss;5-anonymity;RGR;0.3;0.05;5.0;100937.0;8.0;0.08494612296769424;5088.8;1.0;9.907169818797864E-6;0.006223890684637746;0.006220637372329459
Fars;Loss;5-anonymity;RGR;0.999;0.05;5.0;100937.0;8.0;0.0508149313675717;368764.8;3.0;2.972150945639359E-5;0.011472569828748226;0.011461441162983624
Ihis;Loss;5-anonymity;RGR;0.05;0.05;5.0;1193504.0;9.0;0.1185834559141731;62732.6;1.0;8.378689975065018E-7;0.003248657379910929;0.0032484885995934013
Ihis;Loss;5-anonymity;RGR;0.1;0.05;5.0;1193504.0;9.0;0.07013533033168358;62529.8;0.0;0.0;0.0038042998699483704;0.0038042998699483704
Ihis;Loss;5-anonymity;RGR;0.2;0.05;5.0;1193504.0;9.0;0.05131634680819506;67110.4;1.0;8.378689975065018E-7;0.0060990913817703255;0.006098838952883708
Ihis;Loss;5-anonymity;RGR;0.3;0.05;5.0;1193504.0;9.0;0.047321563745332536;74942.8;3.0;2.5136069925195055E-6;0.009078782605759943;0.009078062443850794
Ihis;Loss;5-anonymity;RGR;0.999;0.05;5.0;1193504.0;9.0;0.04239555765579241;6240985.6;2.0;1.6757379950130036E-6;0.005268348574782023;0.005267839561241369
Fars;Loss;10-anonymity;RGR;0.05;0.05;10.0;100937.0;8.0;0.17610508729651142;5090.0;5.0;4.953584909398932E-5;0.004482644228292193;0.0044706039594219335
Fars;Loss;10-anonymity;RGR;0.1;0.05;10.0;100937.0;8.0;0.14544000769008408;4361.2;5.0;4.953584909398932E-5;0.004861533461918499;0.004848626352409759
Fars;Loss;10-anonymity;RGR;0.2;0.05;10.0;100937.0;8.0;0.11802791361641282;5727.8;2.0;1.9814339637595727E-5;0.007940772674711796;0.00793515341344615
Fars;Loss;10-anonymity;RGR;0.3;0.05;10.0;100937.0;8.0;0.10647426123079831;5521.8;0.0;0.0;0.0068822077402670365;0.0068822077402670365
